id_city,time,temp_c,humidity,wind_kph,wind_direction,cloud
1,2024-01-22 21:15:00,8.0,81,28.1,240,25
2,2024-01-22 21:15:00,0.0,80,9.0,100,0
3,2024-01-22 21:15:00,0.0,80,9.0,100,0
4,2024-01-22 21:15:00,3.0,60,6.1,50,0
5,2024-01-22 21:15:00,7.3,57,4.0,66,0
6,2024-01-22 21:15:00,2.0,93,3.6,10,0
7,2024-01-22 21:15:00,15.0,82,28.1,40,50
8,2024-01-22 21:15:00,17.0,83,13.0,150,25
9,2024-01-22 21:15:00,-2.0,100,29.9,180,100
10,2024-01-22 21:15:00,-18.5,93,6.5,179,5
11,2024-01-22 21:15:00,-15.0,85,11.2,200,0
12,2024-01-22 21:15:00,-14.0,78,42.8,360,62
13,2024-01-22 21:15:00,4.0,65,24.1,320,100
14,2024-01-22 21:15:00,2.0,93,13.0,60,75
