city,hour,temp_c,wind_kph,cloud
Berlin,2024-01-27 00:00,4.3,9.7,13
Berlin,2024-01-27 04:00,4.9,7.2,100
Berlin,2024-01-27 08:00,4.8,11.9,45
Berlin,2024-01-27 12:00,12.7,15.5,0
Berlin,2024-01-27 16:00,11.0,14.4,0
Berlin,2024-01-27 20:00,1.9,15.1,0
Berlin,2024-01-28 00:00,1.0,14.0,2
Berlin,2024-01-28 04:00,0.7,13.0,11
Berlin,2024-01-28 08:00,0.7,11.9,4
Berlin,2024-01-28 12:00,9.5,8.3,7
Berlin,2024-01-28 16:00,9.6,6.1,0
Berlin,2024-01-28 20:00,1.1,14.0,0
Berlin,2024-01-29 00:00,0.2,15.1,0
Berlin,2024-01-29 04:00,-0.2,12.2,0
Berlin,2024-01-29 08:00,0.1,9.7,10
Berlin,2024-01-29 12:00,9.3,3.6,2
Berlin,2024-01-29 16:00,8.4,4.7,0
Berlin,2024-01-29 20:00,0.9,5.4,0
Belgrade,2024-01-27 00:00,4.3,9.7,13
Belgrade,2024-01-27 04:00,4.9,7.2,100
Belgrade,2024-01-27 08:00,4.8,11.9,45
Belgrade,2024-01-27 12:00,12.7,15.5,0
Belgrade,2024-01-27 16:00,11.0,14.4,0
Belgrade,2024-01-27 20:00,1.9,15.1,0
Belgrade,2024-01-28 00:00,1.0,14.0,2
Belgrade,2024-01-28 04:00,0.7,13.0,11
Belgrade,2024-01-28 08:00,0.7,11.9,4
Belgrade,2024-01-28 12:00,9.5,8.3,7
Belgrade,2024-01-28 16:00,9.6,6.1,0
Belgrade,2024-01-28 20:00,1.1,14.0,0
Belgrade,2024-01-29 00:00,0.2,15.1,0
Belgrade,2024-01-29 04:00,-0.2,12.2,0
Belgrade,2024-01-29 08:00,0.1,9.7,10
Belgrade,2024-01-29 12:00,9.3,3.6,2
Belgrade,2024-01-29 16:00,8.4,4.7,0
Belgrade,2024-01-29 20:00,0.9,5.4,0
Novi Sad,2024-01-27 00:00,4.3,9.7,13
Novi Sad,2024-01-27 04:00,4.9,7.2,100
Novi Sad,2024-01-27 08:00,4.8,11.9,45
Novi Sad,2024-01-27 12:00,12.7,15.5,0
